Position,AbsA,Fraction,sample,MonoAbsA,M,P,PbyM
30.03,0.051184123209644425,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
30.13,0.053862744013714534,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
30.23,0.05705980755405628,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
30.33,0.05820383785876235,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
30.43,0.05988359232428245,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
30.52,0.060529917602167777,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
30.62,0.06152878394071779,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
30.72,0.060844439528839216,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
30.82,0.06037784106619476,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
30.92,0.060889371232649425,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
31.02,0.05793424763590111,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
31.12,0.05848379693634907,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
31.21,0.05603329093623847,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
31.31,0.05566346845103133,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
31.41,0.05322333130564617,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
31.51,0.05293300337333405,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
31.61,0.04978778410661948,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
31.71,0.050669136758281275,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
31.81,0.04853315268484211,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
31.9,0.04779696399933637,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
32,0.04464828844771331,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
32.1,0.04543632140684622,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
32.2,0.04392938118674998,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
32.3,0.042975446552010174,NA,"sgCNOT1, 0.87",0.28932800000000003,18.634542,18.442545,0.87
