type,day,gene,A,B
total,day 13,TPD52L2,1.2839,0.51508
grna,day 13,KRAS,1.2385,0.58693
total,day 13,MKRN2,2.1476,1.0816
total,day 21,HMGN5,0.59922,1.2317
grna,day 5,YWHAZ,-0.037312,-0.080399
total,day 5,PPIH,0.17142,0.17075
grna,day 21,DDX28,1.6953,0.99854
total,day 21,STRBP,0.77588,1.3146
grna,day 13,NAP1L4,0.47786,0.30238
total,day 13,HEXIM2,0.62475,0.71959
total,day 21,SPTBN5,2.3999,1.7004
grna,day 13,DUSP14,0.18752,1.0367
grna,day 21,RPP40,-0.10269,0.29687
grna,day 13,SCAF8,1.2233,0.41368
total,day 13,LDHB,0.74246,0.34558
grna,day 21,RNASE11,1.3889,-0.17122
total,day 21,PLD6,2.801,2.7746
grna,day 5,BARD1,0.79308,1.1356
grna,day 13,SAFB,0.52081,1.1046
total,day 13,C11ORF68,0.64166,1.0674
total,day 21,ZSGREEN1,1.9988,1.8894
grna,day 5,QRSL1,0.35314,0.0054161
grna,day 21,ADAD2,1.741,1.1858
grna,day 5,TRA2A,0.38571,0.72185
grna,day 21,IPO7,0.02896,0.94725
total,day 21,HSPA1B,1.8493,2.659
grna,day 21,PRRC2C,1.1436,0.86645
total,day 5,RDX,0.23654,0.27119
grna,day 13,HRH1,1.0343,1.5784
total,day 13,RALYL,1.3846,1.561
grna,day 21,HAP1,1.4344,1.7068
total,day 21,HYGRO,1.7473,2.2665
total,day 5,CD44,0.33609,0.53847
grna,day 13,LEPR,0.24435,0.62428
grna,day 21,ESRP2,1.4005,1.715
total,day 21,ZNF106,0.5096,1.8035
grna,day 13,PARN,1.2478,1.2584
total,day 21,PRRC2B,2.5331,0.99497
grna,day 5,SMN1,0.093535,0.36715
grna,day 13,SAMHD1,1.3906,0.72119
grna,day 5,APOBEC3B,0.37252999999999997,0.4129
total,day 13,IDH2,1.3146,1.3671
grna,day 21,CSNK1E,0.16298,0.59137
total,day 21,PTPN1,2.7792,3.2916
grna,day 5,TRMT44,0.43595,0.15284
grna,day 13,ELF1,0.68279,0.65954
total,day 13,EIF4E1B,1.1015,1.1314
grna,day 21,HNRNPCL1,1.8423,1.3587
total,day 21,EIF4H,1.7774,1.4241
grna,day 5,HDGF,0.048343,0.11019
grna,day 13,HAS1,1.0222,2.1756
grna,day 21,OTUD4,1.1529,2.9215
total,day 21,FN1,1.6036,1.4903
total,day 5,NPM2,0.5622,0.42322
grna,day 21,ZFP36L1,0.78226,1.8136
total,day 21,THUMPD2,2.4546,1.7283
grna,day 5,PGRMC1,0.49958,-0.062694
total,day 21,PTPN12,1.5815,2.7701
total,day 13,EEF2K,1.1054,0.957
total,day 21,TNRC6C,2.8204,2.7306
total,day 5,CASC3,0.34139,-0.11115
grna,day 21,UBFD1,3.2987,0.6249
total,day 21,H4C4,2.8272,1.9048
grna,day 5,SEPSECS,0.70124,0.28483
grna,day 13,PIWIL1,0.53032,0.85055
total,day 13,EED,0.88706,2.0607
grna,day 21,TXNDC5,1.4623,0.088842
total,day 21,TNPO2,0.61458,2.0879
total,day 5,NSUN5,0.49669,0.32994
grna,day 13,ZC3H10,0.004686,1.8988
total,day 5,MRPS24,0.4869,0.1491
grna,day 21,TDRD1,0.66659,1.5085
total,day 21,RNF10,0.16959,0.49794
grna,day 5,DYNC1I2,0.9021,0.3625
grna,day 13,SARNP,0.11568,1.1304
total,day 13,ZFP36,1.3032,1.215
grna,day 5,EPPK1,0.52491,1.4746
total,day 5,RIMS1,-0.17035,0.29486
grna,day 13,ARHGEF2,1.2378,0.32999
grna,day 21,FMR1,0.85513,0.40038
total,day 13,PDIA3,1.1762,0.70053
grna,day 21,CDKAL1,2.0308,1.3642
total,day 21,FBP2,0.86936,1.4144
grna,day 5,THUMPD1,0.39217,0.045459
total,day 5,ASCC1,0.16745,0.094494
grna,day 21,SEC23IP,0.60546,1.5403
total,day 21,RBM11,1.1503,0.68509
total,day 5,ZFR,-0.043209,0.18289
grna,day 13,ADD1,1.6765,1.2359
total,day 13,RBMS3,1.029,1.1955
grna,day 21,HMGN2,0.67421,1.5829
grna,day 13,UPF3A,0.80001,1.6605
total,day 13,SLC4A1AP,0.25461,-0.20358
grna,day 5,LSM14B,0.29602,1.0913
total,day 5,TAGLN2,0.12149,-0.052347
grna,day 13,SEC31A,0.66098,2.5039
total,day 13,TDRD3,1.1373,1.221
total,day 21,CHD2,0.52006,1.7376
grna,day 13,DHCR7,1.1337,0.50192
grna,day 21,RIOK3,0.84703,0.31305
grna,day 13,FAM98A,1.2224,0.61244
total,day 13,SUMO1,0.59381,1.2263
grna,day 5,MRPS11,0.083326,0.46906
grna,day 13,ZC3H7A,1.2703,1.6474
grna,day 21,AHNAK,1.163,1.7334
total,day 21,APOBEC3D,2.7003,2.7987
grna,day 5,LCMT2,1.2701,0.029089
grna,day 13,RBMS1,1.7471,0.64743
total,day 13,FKBP2,0.20438,1.3398
grna,day 21,HNRNPUL2,0.81886,1.9728
total,day 5,ZCCHC7,-0.038431,0.20653
total,day 13,PTPN1,1.8453,2.3781
grna,day 21,DIAPH1,1.5701,0.43286
total,day 21,NSUN6,1.3041,1.8574
total,day 5,EZH2,0.24335,-0.068967
grna,day 21,CRKL,0.91048,1.1884
total,day 21,MBNL3,2.778,1.2047
grna,day 5,PTDSS1,0.12403,-0.18911
grna,day 21,TENT5A,1.9318,0.36796
total,day 13,FLUC,1.4512,1.3145
total,day 21,MKRN2,2.9357,1.6085
grna,day 5,LEPR,0.3743,0.19111
total,day 5,BZW2,0.50088,0.10841
total,day 13,PIH1D1,0.80643,1.5479
grna,day 13,HNRNPAB,0.07328,2.2471
total,day 13,TRMT10A,1.8325,0.85291
total,day 21,NOL3,1.0301,2.7411
total,day 5,COPS2,-0.03749,0.14755
total,day 13,PRKDC,0.8054,0.53986
total,day 13,DIS3L,1.7141,0.16791
total,day 13,ZC3HC1,1.081,0.61667
total,day 5,CDKN2A,0.2984,0.60382
total,day 13,FBXO17,1.2765,0.666
grna,day 21,RTN4,1.3188,0.072217
total,day 21,TDRD10,2.2696,1.8694
total,day 13,APOBEC3F,1.3184,2.5772
grna,day 21,HNRNPF,0.39003,1.9607
grna,day 5,NKTR,0.30107,0.16151
grna,day 13,CDKAL1,0.82391,1.4703
grna,day 21,PUS3,0.53442,1.545
total,day 21,APOBEC3G,1.12,1.7924
total,day 13,PAIP1,0.4894,1.4541
grna,day 13,HYGRO,1.1727,1.2261
total,day 21,GMPR2,0.82152,0.2398
total,day 13,LCMT2,0.56011,1.3516
grna,day 21,PATZ1,1.0312,1.6466
grna,day 13,CXXC5,1.5756,1.2125
total,day 21,AKAP17A,2.2844,1.4553
total,day 13,RAVER2,0.78606,-8.8077e-4
total,day 21,DNAAF2,2.1823,1.6387
total,day 5,DBI,0.45257,0.19153
grna,day 13,TMA7,1.1221,1.5624
grna,day 21,NAA38,0.28125,0.013969
grna,day 5,APOB,0.086957,0.71462
grna,day 13,STRBP,1.0114,1.1743
grna,day 21,ALKBH5,1.1128,1.1234
total,day 13,TCOF1,0.8058,0.55608
grna,day 21,CKAP4,0.18911,0.9095
total,day 21,SEC23IP,1.3179,2.2898
total,day 5,ARL6IP4,-0.25158,0.21002
total,day 13,PCDH20,1.0755,1.1364
total,day 21,EIF4E3,0.47585,2.4211
total,day 5,LEPR,0.040385,0.18626
grna,day 13,CNOT2,0.38694,0.29756
total,day 13,SNRPB2,0.7563,0.24169
grna,day 21,FAM120B,1.7403,2.7809
grna,day 5,TNS1,0.33842,0.087067
grna,day 13,TYW3,0.79459,0.20679
grna,day 21,PRKAR2A,1.9507,-0.042018
total,day 13,WDR6,0.84145,0.33428
grna,day 5,EEF1A2,-0.050531,0.4046
total,day 5,TLE5,0.085837,0.13569
grna,day 13,XPO4,0.35215,0.77135
grna,day 21,ZC3H4,0.48188,1.6704
grna,day 13,HINT3,0.50109,1.0757
total,day 5,MRPS14,0.29582,0.16452
grna,day 13,DNAJB12,0.99215,0.71558
total,day 5,DST,0.35572,-0.34641
total,day 21,NANOS2,3.0966,1.471
grna,day 13,CNN1,0.25743,0.86851
grna,day 21,CISD2,1.6188,1.4015
total,day 21,SIDT2,3.0166,0.71363
grna,day 13,RBM3,0.82532,-0.24657
total,day 21,CELF6,1.6532,2.0693
total,day 5,SHQ1,0.10398,0.11471
total,day 13,RNASE4,0.88958,1.0687
total,day 13,AFF4,0.36399,0.79785
grna,day 21,DNAAF2,1.1298,0.78866
total,day 5,CELF5,0.11399,-0.14517
grna,day 13,MNEONGREEN,1.8641,1.2768
total,day 13,FAM50A,0.25218,1.0765
grna,day 21,CNN1,1.6247,0.64448
grna,day 21,RAVER1,2.1523,0.69245
total,day 21,FTSJ1,2.3197,0.96012
grna,day 5,NOC3L,0.0039775,0.57532
total,day 13,CNDP2,2.2166,1.7858
total,day 5,PCBP3,0.46861,0.1231
grna,day 13,PMS1,1.1904,0.9636
total,day 13,PCIF1,1.1548,1.2142
grna,day 5,CXORF23,0.16817,0.17023
total,day 5,ERH,-0.073367,0.29145
grna,day 13,SFN,0.11887,1.0355
grna,day 21,MOV10L1,2.3165,1.0808
total,day 5,MEX3C,0.34461,0.29436
grna,day 13,PPIL3,1.032,-0.21028
total,day 13,PFN1,0.70761,0.20821
total,day 21,UBQLN1,2.5273,1.7571
total,day 5,PABPC3,0.2471,0.23223
grna,day 21,LYAR,1.619,1.7268
total,day 21,FBN1,1.4738,2.3179
total,day 5,PPARGC1B,0.34099,0.14554
grna,day 13,FNDC3A,0.39294,1.3521
grna,day 21,EIF4E2,1.9891,0.34817
grna,day 5,ARHGEF1,0.34881,0.37518
grna,day 13,ANXA11,0.85666,0.95208
total,day 13,RRBP1,1.2431,2.0437
grna,day 21,NDUFS6,1.7752,0.69814
total,day 21,POLDIP3,2.5608,2.1637
grna,day 5,ADK,0.21583,0.83516
total,day 5,RBM17,0.35737,-0.2319
grna,day 13,PUSL1,0.37875,0.39776
total,day 13,RNASE11,1.0349,0.49563
grna,day 21,ATP5F1C,1.0562,0.60611
total,day 21,CPEB2,3.0041,2.4472
grna,day 5,TUT7,0.72602,0.024351
total,day 13,NUFIP2,0.87942,0.25666
grna,day 5,SDAD1,0.24241,0.014099
total,day 13,SUCO,1.0905,1.4753
grna,day 21,TNRC6C,3.1813,0.81546
grna,day 5,MRM3,0.66971,0.20431
total,day 21,TCOF1,1.0225,0.88621
total,day 5,WARS1,0.091955,0.24461
grna,day 21,MEX3B,1.0082,1.3312
total,day 21,FLNA,0.97429,1.0282
total,day 13,IFIT3,1.2753,0.24265
grna,day 21,NGB,1.2258,1.2583
total,day 13,EIF5AL1,0.82183,0.6657
total,day 5,G3BP2,0.21445,0.16947
grna,day 21,RBM46,0.98392,1.4632
total,day 21,FAS,1.6792,1.6613
total,day 13,CST6,0.78954,0.86816
grna,day 21,PIM1,1.4925,1.6557
total,day 21,ALKBH5,0.85008,2.035
grna,day 13,ERI2,1.2443,1.579
total,day 13,ZC3HAV1L,-0.11073,0.51065
grna,day 21,NXT1,0.62249,1.231
total,day 21,SMAD3,1.103,0.13721
grna,day 13,AEN,0.33184,0.63577
total,day 13,SNRNP48,1.5551,1.4772
grna,day 21,PRDX3,2.236,1.3622
total,day 13,SARNP,0.12584,1.5902
total,day 21,PUS10,1.2877,2.4452
total,day 5,MTERF1,0.019539,0.27945
grna,day 13,KPNA2,1.41,0.42602
total,day 21,KYAT3,1.3139,2.9605
total,day 13,PPARGC1B,1.2067,0.83969
total,day 21,RDX,1.9263,2.432
grna,day 13,MYH9,1.8308,1.4169
total,day 21,FBRSL1,2.6885,2.3186
total,day 5,DAZ1,0.069336,0.0096024
total,day 13,ISG20,0.90614,1.2454
grna,day 5,ELAC2,0.23505,0.46052
grna,day 21,SECISBP2L,1.3069,1.4364
total,day 13,INTS12,0.87951,0.60608
grna,day 21,HEXIM2,2.1873,1.0071
total,day 13,NOS3,1.1879,0.38292
total,day 21,TRIM21,2.1512,3.233
grna,day 5,UTP18,0.14665,0.4824
grna,day 13,EIF2AK1,1.1412,1.1942
total,day 13,CPLX2,1.0337,1.0062
total,day 21,MOV10,2.1341,0.32132
grna,day 13,UHMK1,0.70752,1.1669
grna,day 5,LIN28B,0.36908,0.89259
total,day 5,HIBADH,0.096372,0.2571
grna,day 13,PYM1,1.1306,0.061646
grna,day 21,PNLDC1,2.3556,2.3912
total,day 21,PRKRA,1.889,2.9596
grna,day 13,TIAL1,0.83506,0.45454
total,day 13,DDX39A,0.88027,0.3355
grna,day 21,PCDHGA9,1.4163,0.39323
total,day 21,ZC3H15,0.74186,1.8311
grna,day 5,TSEN34,0.65472,0.82084
total,day 13,RPP25L,0.77797,1.1408
total,day 21,HRH2,2.4966,1.9974
total,day 5,ZNF768,0.57075,0.3187
grna,day 21,CTNND1,1.7412,0.71738
total,day 21,MGST1,1.721,2.438
total,day 5,ERN1,0.23497,0.44648
grna,day 13,HADH,0.93215,1.0576
total,day 13,SIDT1,1.1698,2.5694
grna,day 21,ACIN1,0.026813,0.84048
total,day 21,TWF2,0.36691,1.3887
grna,day 13,TST,2.1783,0.664
grna,day 13,METTL8,1.0907,1.2467
total,day 13,UBQLN1,1.4997,1.1212
total,day 21,PUM2,1.3237,0.40431
grna,day 5,FAM133B,0.3051,0.24002
total,day 5,SREK1,0.26068,0.38265
grna,day 13,RBM43,1.2212,2.3188
total,day 13,NDUFS6,0.50195,1.0211
total,day 21,EIF4A2,0.73095,3.1239
grna,day 13,FASN,1.0225,1.4356
total,day 21,ATXN2,0.61806,0.66036
total,day 5,DXO,-0.13764,0.045997
grna,day 13,NDRG1,1.2483,1.0943
total,day 13,ARHGEF1,0.93308,1.5294
grna,day 21,RALYL,0.34192,1.4629
total,day 5,FKBP4,0.38876,0.55805
total,day 13,ASCC1,0.81885,0.66151
grna,day 21,ANGEL1,1.0893,1.0629
total,day 21,PEBP1,0.98346,2.2572
total,day 21,ZCCHC2,1.5052,1.2432
grna,day 21,ZNF346,3.1042,2.5919
total,day 21,DUSP11,1.8505,0.85871
grna,day 5,METTL5,0.34001,0.13397
total,day 5,TRNT1,-0.13357,-0.041081
total,day 21,NDRG4,1.6782,2.8427
grna,day 5,EIF2AK4,1.461,0.38178
total,day 21,ZC3H3,1.6275,0.89959
grna,day 5,HBS1L,0.74227,1.065
total,day 5,GTPBP3,-0.03821,0.20955
total,day 13,FAM120B,1.3766,2.3995
grna,day 21,MBNL2,2.4225,0.5851
total,day 21,RBM27,0.84805,0.68723
grna,day 5,HMGN5,0.61199,0.3133
grna,day 13,HNRNPDL,0.67405,0.46128
total,day 13,ELAVL3,0.79244,0.86447
total,day 21,AFP,2.0827,2.628
total,day 5,ZNF622,0.015011,-0.012386
grna,day 13,PIWIL2,0.27282,2.0411
total,day 21,RBMXL3,0.12531,1.3916
total,day 5,PNISR,0.74864,0.18121
grna,day 13,SAMSN1,1.143,0.70039
total,day 13,ZC3H15,0.54801,1.4537
total,day 13,ADAD1,0.89374,1.4326
grna,day 21,CPSF4L,1.2247,0.7342
grna,day 21,KYAT3,0.38632,1.6285
grna,day 5,NUSAP1,-0.018974,-0.027594
total,day 13,METTL8,1.0365,0.93018
total,day 13,RBFOX1,1.847,1.7059
grna,day 21,STX7,0.50776,1.6645
grna,day 13,NOL3,0.89391,-0.070783
grna,day 21,CELF1,0.11275,0.9102
total,day 21,RBM26,2.1539,1.7869
total,day 5,HRH1,0.39561,0.32009
grna,day 13,G3BP2,0.83117,1.2721
total,day 13,EPB41L2,1.7423,1.8345
grna,day 21,SND1,2.6879,0.93529
total,day 21,WDR6,1.7045,0.49032
grna,day 13,APOBEC3D,1.3507,2.2966
total,day 21,ERI2,1.8607,2.3076
grna,day 13,ZC3H4,0.48431,1.087
grna,day 21,IPO8,1.3937,0.037941
total,day 5,ZNF598,0.34603,0.24783
total,day 21,TRA2A,2.6647,1.3257
total,day 5,HNRNPCL1,0.84231,-0.0176
total,day 5,MCTS1,0.41112,0.25298
total,day 13,REPIN1,1.4252,0.70511
grna,day 21,S100A4,1.2474,2.2243
grna,day 13,FTSJ1,0.69736,1.4796
total,day 21,S100A4,1.2149,2.2333
grna,day 5,DCP1B,0.39048,0.065748
grna,day 13,NSFL1C,0.47174,1.1937
grna,day 21,LTA4H,2.5976,0.49764
grna,day 5,ZFP36L2,0.073474,0.90304
total,day 5,TFB2M,0.37722,-0.12308
grna,day 13,H4C5,1.2901,0.67479
total,day 21,CCDC124,1.5689,1.4521
total,day 5,RBMXL1,0.17759,0.48526
grna,day 21,ADK,0.48887,0.19628
total,day 21,C11ORF68,1.1564,1.9799
total,day 5,ELOA,0.34647,-0.013654
total,day 13,GUF1,0.47148,1.1631
total,day 21,CPLX2,1.28,1.3143
grna,day 13,TDRD9,0.54082,0.78262
total,day 13,MSI2,1.0961,1.3633
total,day 21,PABPC5,3.3897,2.7565
total,day 13,PABPC1L2A,0.67511,1.3439
grna,day 5,BAZ2B,0.14614,0.54452
grna,day 13,SETD7,0.97372,1.0117
total,day 13,ZYX,1.805,0.98281
grna,day 21,APOBEC3D,1.6672,2.3566
grna,day 13,DYNC1LI1,0.94547,0.10059
total,day 21,RAC1,2.4718,0.14242
grna,day 13,SND1,1.268,-0.027739
total,day 13,HEATR6,0.26721,0.8319
grna,day 13,L1TD1,1.1323,1.1232
total,day 13,OAS3,2.0081,2.1397
grna,day 21,EDC3,0.99346,1.8532
grna,day 5,YY1,1.3642,0.79818
total,day 5,UBTF,0.39292,0.067896
grna,day 21,SREK1,0.16425,0.41364
total,day 21,IFIT1,1.5894,1.0028
grna,day 21,PARP12,1.2613,0.36977
grna,day 21,PPIL3,1.6093,0.36806
total,day 21,RBM18,3.036,3.4202
total,day 13,MTERF1,0.76708,0.93123
total,day 5,POP4,-0.19868,0.10571
grna,day 13,DBNL,1.3815,0.99798
total,day 13,SAP130,1.2343,0.70684
grna,day 21,EZR,0.64158,0.94748
total,day 21,ZCCHC4,1.5972,2.8553
total,day 5,SSBP1,0.48771,0.16359
grna,day 21,NOS2,1.2945,0.22156
total,day 21,ALKBH6,0.73012,1.6615
grna,day 5,ELP4,0.030907,0.29113
grna,day 21,CDK17,1.0869,1.8907
total,day 5,UPF3A,0.53498,0.40477
grna,day 13,QTRT1,1.1868,0.72648
grna,day 21,SARNP,0.50156,1.1275
total,day 21,ACO2,1.3224,1.0879
grna,day 21,TASOR,1.4984,0.71454
total,day 21,FAM133B,3.8288,0.99331
grna,day 21,TST,2.3915,0.042799
grna,day 13,RP9,0.18156,1.038
total,day 13,TNPO2,0.7026,1.3836
grna,day 13,HAP1,1.3593,1.6912
total,day 13,ELAVL1,0.40173,0.63524
total,day 21,CNN3,2.9936,1.4268
grna,day 13,SNRNP48,1.9881,1.0536
total,day 21,DDX31,0.63079,1.0896
grna,day 13,HABP4,0.16542,0.24425
grna,day 21,BAZ2B,2.3556,1.0266
total,day 13,IFIH1,2.0727,0.76992
total,day 21,PHF10,1.9489,0.55973
total,day 21,IFI16,2.4004,2.8833
grna,day 5,BCCIP,0.060456,0.11737
total,day 13,ADAT3,0.81896,0.63114
grna,day 13,PRDX3,1.2108,1.0737
total,day 21,ENSA,1.8415,0.74296
grna,day 5,ADD3,0.47934,0.2378
total,day 13,SRRM4,1.3657,1.3642
grna,day 21,POLDIP3,0.27185,1.5956
total,day 5,EXO1,0.4406,0.2543
total,day 13,LTA4H,1.8285,0.25334
grna,day 5,SPATS2L,0.63745,0.78884
total,day 5,PRR3,0.49846,0.3083
total,day 13,ZRANB2,0.77304,0.66114
total,day 21,FAM120B,2.1151,3.6636
grna,day 5,EIF2AK1,0.51908,1.0176
grna,day 13,USP14,0.50346,0.97205
total,day 21,DUSP14,0.50233,1.0991
total,day 21,MKRN1,0.64543,1.6408
grna,day 5,R3HCC1,0.11244,0.091319
total,day 13,ANG,0.93606,0.29174
total,day 5,ACO1,0.34953,0.149
total,day 13,ZSGREEN1,1.6122,1.2829
grna,day 5,TPD52L2,0.14273,-0.11813
total,day 5,PRDX3,0.063058,-0.35431
grna,day 21,PHF3,1.0294,1.7624
total,day 21,RPUSD1,1.7584,2.3793
total,day 5,TNKS1BP1,0.40518,0.032802
total,day 13,ZCCHC3,0.84902,1.6322
grna,day 21,UCHL5,2.4937,0.88979
grna,day 5,TUFM,0.65023,0.81051
grna,day 13,RNASE2,0.57675,0.94082
total,day 21,MTDH,2.7759,1.0547
grna,day 5,STRBP,0.24409,0.61542
total,day 5,DCP1A,0.12752,-0.10746
total,day 13,DDX31,1.0043,0.83103
total,day 21,LMF2,0.9384,2.6703
total,day 5,SEC63,0.23391,0.44325
total,day 21,SNRPN,2.2726,2.4818
total,day 5,SNRNP70,-0.21567,0.017578
total,day 21,FLUC,2.0447,1.3693
grna,day 5,THOC1,-0.011044,0.034593
total,day 5,OGN,-0.10966,0.095703
grna,day 13,DNAAF6,0.65435,1.7521
total,day 13,KNOP1,0.65801,0.35858
grna,day 21,PPIA,1.5898,0.17265
grna,day 5,BST2,0.10444,0.5203
grna,day 21,ZC3H10,0.93559,1.626
total,day 21,QKI,1.7099,2.4932
grna,day 21,DZIP1,2.578,1.5295
total,day 21,CHD3,2.386,2.7905
grna,day 21,YWHAG,0.93018,1.6277
total,day 21,RAVER2,1.3543,0.97204
grna,day 5,TRDMT1,0.85349,0.55528
total,day 5,URM1,0.20637,0.37986
total,day 13,TYW1,1.9059,0.21437
grna,day 21,NOL7,0.49634,0.013969
grna,day 13,PRKAR2A,1.9739,0.57042
total,day 21,DHX34,2.488,1.4491
grna,day 5,NOVA1,0.61435,0.50964
total,day 5,FEN1,0.1043,0.22558
grna,day 5,RBM10,0.76444,-0.05995
grna,day 21,SEC31A,0.65179,2.6993
total,day 21,TRMT11,1.6974,1.5861
total,day 5,MOV10L1,0.19773,0.14295
total,day 21,CELF5,2.0327,1.177
grna,day 13,DDX60,1.8218,1.3353
grna,day 21,DHX34,2.3144,0.83922
grna,day 13,RBM4B,1.6576,0.97771
total,day 13,ATXN2,0.86867,0.39362
total,day 21,NUSAP1,2.8617,1.532
grna,day 5,RALY,1.0049,0.1039
grna,day 21,TBL2,0.93432,2.1116
total,day 21,OGN,1.4187,1.3792
total,day 5,PIH1D1,-0.039793,0.37851
grna,day 13,MKRN3,1.8148,0.52997
total,day 13,HLA-A,2.2127,0.91225
total,day 5,PSTK,0.38678,0.14365
grna,day 21,DBNL,1.9563,1.628
total,day 13,IPO5,1.1711,0.39838
grna,day 5,NSUN2,0.064367,0.21733
grna,day 5,GEMIN4,1.0898,0.020927
total,day 13,RSRC1,0.29858,1.4847
total,day 21,HRH1,2.3283,1.4603
total,day 5,RNASE8,-0.053277,0.066994
grna,day 5,PCDHGA9,0.54149,0.66504
grna,day 13,SLC25A5,0.1616,0.68922
total,day 13,ZCCHC4,1.0948,1.7601
grna,day 21,CXXC5,1.2521,1.6706
total,day 21,LRP1,1.0549,0.9033
grna,day 21,NUSAP1,1.1338,0.54504
total,day 13,SPTBN5,1.5432,1.1251
grna,day 21,CD44,1.7393,0.87829
total,day 21,RPP25,2.6528,2.3888
grna,day 5,DNAJC17,0.38853,0.22767
total,day 13,DCP2,0.94691,1.026
grna,day 21,ESRP1,0.033116,0.8014
total,day 21,INTS12,0.4173,0.6327
total,day 5,TDRD3,0.33201,0.14833
grna,day 13,TRMT2A,0.69592,0.76553
total,day 13,HMGN2,0.98862,0.78294
total,day 5,PARN,0.44168,0.18686
total,day 21,ADAR,1.2556,1.2135
grna,day 13,C2ORF15,1.0473,0.9978
total,day 13,DEK,2.3104,1.7628
total,day 21,NOVA1,0.49112,2.3104
grna,day 5,HERC5,-0.13764,0.0022694
total,day 13,MBNL3,1.6716,0.92267
total,day 5,RNPS1,0.011564,0.29807
grna,day 13,FMR1,1.1908,0.52247
total,day 13,HNRNPLL,1.6124,1.2728
total,day 5,PAIP2,0.53604,0.10932
grna,day 13,ZNF326,0.32826,0.32497
total,day 21,ATXN1,1.5637,1.6463
grna,day 5,PAWR,-0.29367,0.83497
total,day 5,PABPC1L2A,-0.15157,0.41676
total,day 21,EIF4E1B,1.0065,1.6183
grna,day 5,ZNFX1,0.622,1.081
total,day 5,PURB,0.1967,0.2964
grna,day 21,SYNE1,0.9967,1.318
total,day 21,TLR8,1.1763,2.4966
total,day 5,TAGLN,0.42632,0.23216
grna,day 13,DAZ1,0.44906,0.78353
total,day 13,SETD7,0.70569,1.3179
total,day 5,SAMD4B,0.22798,0.40661
total,day 13,SRSF6,0.23914,1.0226
grna,day 21,CNDP2,2.6592,0.40768
total,day 21,RPL26L1,1.0143,2.1017
total,day 21,TRMT1L,2.8436,1.4384
grna,day 13,DDX3Y,1.9055,1.0251
total,day 13,CHD3,1.6084,1.8877
total,day 5,U2AF2,0.18345,-0.053355
total,day 21,G3BP2,2.4308,1.205
grna,day 21,CSTB,0.10998,0.72954
total,day 21,XPO6,1.0946,0.70136
grna,day 13,MSI1,0.7371,1.122
total,day 13,CELF5,1.331,0.60876
total,day 21,PRKAB2,2.1944,1.8643
grna,day 13,FLNA,0.83391,0.60846
total,day 21,HAS1,2.3079,2.8637
grna,day 13,STAU2,0.28341,0.16407
total,day 13,USP14,1.2382,1.4644
total,day 21,RPS4Y2,0.46756,1.4294
grna,day 13,MTRF1L,0.91617,-0.036931
total,day 13,RBM24,1.6867,0.56686
grna,day 21,DDX43,2.1295,0.79996
total,day 13,YWHAB,2.0421,1.169
total,day 5,ARHGEF1,0.18661,-0.091292
grna,day 5,TAF9,-0.046958,0.5757
grna,day 5,MET,0.80999,0.043128
total,day 5,CALR,0.016445,0.34498
grna,day 21,CCR4,2.2364,0.57747
total,day 5,RBM15B,0.12026,0.07801
grna,day 13,EML4,1.1058,0.20027
total,day 13,YRDC,0.94309,0.73635
grna,day 5,GRSF1,0.95834,0.4332
grna,day 13,PCBP3,1.1104,0.079398
grna,day 21,OGN,1.0089,0.74039
total,day 21,SARNP,0.36229,2.2701
grna,day 5,DDX50,0.90397,0.40443
total,day 5,PTBP3,0.65362,0.61957
grna,day 13,PDIA2,1.7913,1.966
total,day 13,YBX3,0.30612,0.86797
grna,day 21,METTL8,1.2541,1.0228
total,day 5,MSL3,0.48515,0.045889
grna,day 13,KHDRBS1,0.45552,0.41417
grna,day 13,STK10,0.64261,2.0359
total,day 13,ZC3H3,0.99703,0.3619
grna,day 21,EXOG,1.4406,1.1929
total,day 21,HELZ2,1.9988,2.1208
grna,day 13,ASCC1,0.99316,1.2687
total,day 5,CHD3,0.26043,0.20872
total,day 13,SKIC2,0.7911,1.1297
grna,day 21,RBM15B,0.96093,1.0336
grna,day 13,STAU1,0.4507,1.222
total,day 13,MAT1A,1.4525,0.81079
grna,day 5,TRUB1,0.0705,0.88883
grna,day 13,CNOT4,1.2172,1.3568
grna,day 21,NDUFV3,1.465,1.0059
total,day 21,SNRNP48,2.2561,2.0295
total,day 5,COA6,0.15659,0.049854
grna,day 21,STIP1,0.35264,0.94276
total,day 21,TAF9,1.2042,1.8502
total,day 5,SRRM4,-0.14347,0.18611
grna,day 13,TRIM25,0.96119,1.2111
total,day 13,CTTN,0.9104,1.1731
grna,day 21,PARK7,2.615,0.70302
total,day 21,ZNF346,0.93883,2.151
grna,day 5,CLNS1A,0.51523,0.60131
total,day 5,BRIX1,0.39371,-0.036715
grna,day 5,POP5,0.1972,0.27221
total,day 13,TERT,0.98975,2.3748
grna,day 21,DAZL,0.49458,1.054
total,day 5,ALKBH6,-0.034301,0.33816
grna,day 13,ESRP2,1.2213,1.5257
grna,day 5,ZNF473,0.62781,0.10314
total,day 13,DST,1.5238,0.20433
grna,day 21,DUSP14,0.78208,0.69592
total,day 21,CDK5RAP1,1.4412,2.3872
grna,day 21,U2AF1L4,1.1788,1.0562
grna,day 13,PCIF1,0.73807,1.3094
